location,year,deaths,incidence,region,"medical doctors per 10,000","nurses and midwifes per 10,000","pharmacists per 10,000","dentists per 10,000",composite_score,rank
Bulgaria,1992,0.09904940971335696,0.9214823167511668,Europe,0.7103359173126615,0.43910782703886153,0.14695520885757424,0.4256559766763848,0.4341764285881371,14.0
Estonia,1992,0.15759974654046371,0.6973192189814763,Europe,0.73359173126615,0.4564860426929393,0.217916456970307,0.3418367346938775,0.4197947416123628,15.0
Poland,1992,0.41440539509419017,0.8634710938572596,Europe,0.4599483204134367,0.38813628899835795,0.20483140412682435,0.25655976676384834,0.4119009703436248,16.0
Austria,1992,0.3877872787890666,0.5130013447417394,Europe,0.7242894056847546,0.2786672140120416,0.23049823855057877,0.21793002915451892,0.3733978858890343,17.0
Croatia,1992,0.33830694037340514,0.9319666538685774,Europe,0.4043927648578812,0.3002873563218391,0.17362858580775037,0.24927113702623904,0.3732997148167149,18.0
Tajikistan,1992,0.552481170884394,0.7489564351597002,Europe,0.4919896640826874,0.37458949096880134,0.04680422747861097,0.05247813411078717,0.36218572933666116,19.0
Hungary,1992,0.0,0.9300453531189561,Europe,0.6708010335917313,0.3484537493158183,0.1545042778057373,0.17638483965014576,0.3505390596593963,20.0
Argentina,1992,0.6846767214843446,0.23422320853316614,Americas,0.5751937984496125,0.12157909140667762,0.14695520885757424,0.41326530612244894,0.35009390129150586,21.0
Cyprus,1992,0.6060252442340253,0.5782334675435148,Europe,0.3302325581395349,0.19458128078817732,0.05032712632108706,0.3731778425655976,0.3398171323888904,22.0
Russian Federation,1992,0.2583384782145912,0.5605800660218052,Europe,1.0,0.0,0.0,0.1348396501457726,0.28268808393542894,23.0
Malaysia,1992,1.0,0.5419109987343012,Western Pacific,0.0,0.08223864258347018,0.02617010568696527,0.0,0.2598871116270283,24.0
Ecuador,1992,0.9315298817983375,2.220446049250313e-16,Americas,0.1979328165374677,0.09469074986316366,0.002013085052843481,0.06122448979591835,0.2177607436512351,25.0
